Area,Year,Population,Property crime,Burglary,Larceny-theft ,Motor vehicle theft ,Regions
Connecticut,2015,3584730,65610,10286,48898,6426,New England
Connecticut,2016,3576452,64664,10045,47512,7107,New England
Maine,2015,1329453,24361,4694,18853,814,New England
Maine,2016,1331479,21912,4003,17134,775,New England
Massachusetts,2015,6784240,114547,21826,84676,8045,New England
Massachusetts,2016,6811779,106339,19193,79088,8058,New England
New Hampshire,2015,1330111,23453,3482,19076,895,New England
New Hampshire,2016,1334795,20194,2963,16360,871,New England
Rhode Island,2015,1055607,20038,3938,14714,1386,New England
Rhode Island,2016,1056426,20058,3788,14674,1596,New England
Vermont,2015,626088,9064,2034,6834,196,New England
Vermont,2016,624594,10602,2103,8217,282,New England
New Jersey,2015,8935421,145701,27960,105963,11778,Middle Atlantic
New Jersey,2016,8944469,138152,25284,101540,11328,Middle Atlantic
New York,2015,19747183,317225,44117,257837,15271,Middle Atlantic
New York,2016,19745289,305181,39821,250968,14392,Middle Atlantic
Pennsylvania,2015,12791904,231941,39573,180236,12132,Middle Atlantic
Pennsylvania,2016,12784227,222795,35520,174228,13047,Middle Atlantic
Illinois,2015,12839047,256962,46846,192424,17692,East North Central
Illinois,2016,12801539,262306,47989,194407,19910,East North Central
Indiana,2015,6612768,171878,34404,123940,13534,East North Central
Indiana,2016,6633053,171759,34097,122931,14731,East North Central
Michigan,2015,9917715,191191,40375,132019,18797,East North Central
Michigan,2016,9928300,189620,39568,129876,20176,East North Central
Ohio,2015,11605090,303743,69994,216354,17395,East North Central
Ohio,2016,11614373,299357,66883,212807,19667,East North Central
Wisconsin,2015,5767891,114171,19602,83572,10997,East North Central
Wisconsin,2016,5778708,111720,19425,82337,9958,East North Central
Iowa,2015,3121997,64688,14977,45328,4383,West North Central
Iowa,2016,3134693,65391,15030,45378,4983,West North Central
Kansas,2015,2906721,80059,15619,57435,7005,West North Central
Kansas,2016,2907289,78367,14364,57066,6937,West North Central
Minnesota,2015,5482435,121984,19299,94704,7981,West North Central
Minnesota,2016,5519952,117756,18606,90422,8728,West North Central
Missouri,2015,6076204,173788,34029,122749,17010,West North Central
Missouri,2016,6093000,170549,31710,120544,18295,West North Central
Nebraska,2015,1893765,42597,6443,32148,4006,West North Central
Nebraska,2016,1907116,43163,6444,31994,4725,West North Central
North Dakota,2015,756835,17716,3296,12686,1734,West North Central
North Dakota,2016,757952,17402,3243,12195,1964,West North Central
